# Data with a synthetic error
#  Period(s) Code GG_Lat GG_Lon X(m) Y(m) Z(m) Component Real Imag Error HxAzi HyAzi ExAzi EyAzi
>  Full_Impedance
>  exp(-i\omega t)
>  [V/m]/[T]
> 0.0
> 0.0 0.0
> 4 198
1.0000000e+00 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXX -1.4544890e+03 -3.0658110e+01 7.1542653e+02
1.0000000e+00 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXY 1.1316990e+04 -1.2839510e+04 7.1542653e+02
1.0000000e+00 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYX -1.8127600e+04 1.6632590e+04 7.1542653e+02
1.0000000e+00 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYY 3.0662610e+03 -3.6571900e+02 7.1542653e+02
1.0000000e+01 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXX -9.8850740e+02 4.6817340e+02 2.5255127e+02
1.0000000e+01 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXY 3.9063130e+03 -3.6135520e+03 2.5255127e+02
1.0000000e+01 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYX -6.4994160e+03 5.7977530e+03 2.5255127e+02
1.0000000e+01 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYY 2.1239610e+03 -8.5134520e+02 2.5255127e+02
1.0000000e+02 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXX -3.2934530e+02 2.7632520e+02 8.2633738e+01
1.0000000e+02 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXY 1.3150590e+03 -1.2590730e+03 8.2633738e+01
1.0000000e+02 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYX -2.0711070e+03 2.0197700e+03 8.2633738e+01
1.0000000e+02 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYY 7.8690980e+02 -6.1391600e+02 8.2633738e+01
1.0000000e+03 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXX -8.0731630e+01 1.0852950e+02 2.0874605e+01
1.0000000e+03 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZXY 3.2617980e+02 -4.4942800e+02 2.0874605e+01
1.0000000e+03 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYX -5.0773850e+02 7.0999740e+02 2.0874605e+01
1.0000000e+03 006-006 0.0000 0.000 41000.000 39375.000 0.000 ZYY 1.9657510e+02 -2.5628900e+02 2.0874605e+01
1.0000000e+00 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXX -1.2675580e+03 -1.1626370e-01 4.5521782e+02
1.0000000e+00 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXY 9.4196380e+03 -1.0456770e+04 4.5521782e+02
1.0000000e+00 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYX -8.7585870e+03 9.7975400e+03 4.5521782e+02
1.0000000e+00 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYY 1.2993690e+03 -6.3358740e+01 4.5521782e+02
1.0000000e+01 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXX -8.6097370e+02 4.1135570e+02 1.5435452e+02
1.0000000e+01 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXY 3.2889660e+03 -2.9792870e+03 1.5435452e+02
1.0000000e+01 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYX -2.9481180e+03 2.9051440e+03 1.5435452e+02
1.0000000e+01 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYY 9.5218880e+02 -3.5984260e+02 1.5435452e+02
1.0000000e+02 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXX -2.8674580e+02 2.4090910e+02 5.0898449e+01
1.0000000e+02 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXY 1.1127430e+03 -1.0566540e+03 5.0898449e+01
1.0000000e+02 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYX -9.3087870e+02 9.3901600e+02 5.0898449e+01
1.0000000e+02 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYY 3.5562610e+02 -2.7418870e+02 5.0898449e+01
1.0000000e+03 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXX -7.0306790e+01 9.4534990e+01 1.2376748e+01
1.0000000e+03 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZXY 2.7507270e+02 -3.7999910e+02 1.2376748e+01
1.0000000e+03 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYX -2.2832660e+02 3.2219110e+02 1.2376748e+01
1.0000000e+03 006-007 0.0000 0.000 41000.000 40625.000 0.000 ZYY 8.8558570e+01 -1.1571800e+02 1.2376748e+01
1.0000000e+00 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZXX -5.2822350e+02 -2.0089180e+02 4.5103635e+02
1.0000000e+00 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZXY 8.3987220e+03 -9.3533520e+03 4.5103635e+02
1.0000000e+00 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZYX -9.6735290e+03 1.0618500e+04 4.5103635e+02
1.0000000e+00 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZYY 5.3767480e+02 2.3809420e+02 4.5103635e+02
1.0000000e+01 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZXX -5.1105050e+02 1.9354790e+02 1.5049545e+02
1.0000000e+01 006-008 0.0000 0.000 41000.000 41875.000 0.000 ZXY 2.9444730e+03 -2.6608260e+03 1.5049545e+02
